"","BANDFINAL","Species1","sp2","sp2.fct","Beak.LengthA","Beak.LengthB","Beak.LengthC","Beak.DepthA","Beak.DepthB","Beak.DepthC","Beak.WidthA","Beak.WidthB","Beak.WidthC","Tarsus","Wing.Chord","Mass","Year","By.","Site","Sex0","MedianBeakLength","MedianBeakWidth","MedianBeakDepth","avg.mbl","avg.mbw","avg.mbd","age","age.ad","y.2003","y.2004","y.2005","y.2006","y.2007","y.2008","y.2009","y.2010","y.2011","y.2012","y.2013","y.2014","y.2015","y.2016","y.2017","y.2018","y.2019","y.2020","ch","maxseen","ch.corr","maxseen.corr","X.corr.y.2003","X.corr.y.2004","X.corr.y.2005","X.corr.y.2006","X.corr.y.2007","X.corr.y.2008","X.corr.y.2009","X.corr.y.2010","X.corr.y.2011","X.corr.y.2012","X.corr.y.2013","X.corr.y.2014","X.corr.y.2015","X.corr.y.2016","X.corr.y.2017","X.corr.y.2018","X.corr.y.2019","X.corr.y.2020","date2","scaled.mbl","scaled.mbd","scaled.mbw","sp.mean.bl","sp.mean.bd","sp.sd.bl","sp.sd.bd","pc1.new","pc2.new","pc1.bod","pc2.bod","mxcpois"
"11","AH0002","scandens","scandens","scandens",14.420,14.27,14.350, 8.300, 8.490, 8.410, 7.950, 7.86, 7.85,20.89,71.00,21.80,2020,"EA","El Garrapatero","f",14.350, 7.860000, 8.410,14.350000, 7.860000, 8.410000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-10, 0.114572518,-0.402872123,-0.8751538984,14.251929, 8.627551,0.8559749,0.5400007, 2.960014e-02, 7.680213e-01, 0.2738535704,-0.1837817094, 0
"12","AH0003","fuliginosa","fuliginosa","fuliginosa", 8.850, 8.83, 8.880, 7.050, 5.680, 6.870, 6.690, 6.65, 6.78,NA,NA,NA,2020,"EA","El Garrapatero","f", 8.850, 6.690000, 6.870, 8.850000, 6.690000, 6.870000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-06, 0.576856947,-0.602171968,-0.4545393262, 8.568677, 7.095934,0.4876822,0.3751992,-3.110561e-01, 1.532524e-02,NA,NA, 0
"13","AH0005","fuliginosa","fuliginosa","fuliginosa", 9.530, 9.37, 9.110, 7.460, 7.710, 7.680, 7.260, 7.13, 7.11,20.55,65.00,15.60,2020,"PC","El Garrapatero","m", 9.370, 7.130000, 7.680, 9.370000, 7.130000, 7.680000,"m","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-06, 1.643125195, 1.556681077, 0.9268093924, 8.568677, 7.095934,0.4876822,0.3751992,-2.335507e-01, 1.976584e-03,-0.1615556021,-0.3437559145, 0
"14","AH0007","fortis","fortis small","fortis small",11.040,10.73,10.780, 9.870, 9.720, 9.900, 8.590, 8.44, 8.83,19.12,70.00,18.40,2020,"PC","El Garrapatero","m",10.780, 8.590000, 9.870,10.780000, 8.590000, 9.870000,"m","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-06,-0.982367816,-0.847073402,-1.4646827293,11.369052,10.448229,0.5996244,0.6826201,-1.365255e-02,-4.969296e-02, 0.1094644720,-0.5768027451, 0
"15","AH0011","scandens","scandens","scandens",15.090,14.97,14.940, 8.400, 8.190, 8.150, 7.430, 7.37, 7.66,20.07,64.00,18.20,2020,"PC","El Garrapatero","f",14.970, 7.430000, 8.190,14.970000, 7.430000, 8.190000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-06, 0.838892840,-0.810278979,-1.8085340993,14.251929, 8.627551,0.8559749,0.5400007, 2.735255e-02, 9.250477e-01,-0.1220301851, 0.1336476362, 0
"16","AH0013","scandens","scandens","scandens",11.640,11.61,11.740, 7.830, 7.480, 7.350,12.120,12.23,11.87,23.90,70.00,23.90,2020,"CB","El Garrapatero","m",11.640,12.120000, 7.480,11.640000,12.120000, 7.480000,"m","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-06,-3.051408242,-2.125092016, 8.3718220450,14.251929, 8.627551,0.8559749,0.5400007, 3.543638e-02, 1.222350e-01, 0.3303987047, 0.2898541898, 0
"17","AH0014","scandens","scandens","scandens",12.910,12.82,12.870, 8.600, 7.780, 7.790, 7.730, 7.68, 7.45,21.73,72.00,20.10,2020,"PC","El Garrapatero","f",12.870, 7.680000, 7.790,12.870000, 7.680000, 7.790000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-06,-1.614450185,-1.551018718,-1.2658711918,14.251929, 8.627551,0.8559749,0.5400007,-6.716737e-02, 5.773567e-01, 0.2664895063,-0.5274388543, 0
"18","AH0015","fortis","fortis large","fortis large",12.880,12.84,12.920,12.360,12.570,12.510,10.940,10.89,10.87,23.34,76.00,27.40,2020,"CB","El Garrapatero","m",12.880,10.890000,12.510,12.915000,11.030000,12.885000,"m","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-05,-0.138723762,-0.002301699,-0.3097951074,13.007307,12.886966,0.6653983,0.8541130, 2.878052e-01,-7.371499e-02, 0.6710256299, 0.0520299537, 0
"19","AH0016","fortis","fortis large","fortis large",12.450,12.95,12.850,13.050,13.140,12.870,10.530,10.52,10.54,22.65,74.00,23.80,2020,"MP","El Garrapatero","f",12.850,10.530000,13.050,12.520000,10.475000,13.230000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-06,-0.732353154, 0.401626126,-1.1229757711,13.007307,12.886966,0.6653983,0.8541130, 2.997776e-01,-1.098695e-01, 0.4714424882,-0.2284581294, 0
"20","AH0017","fortis","fortis large","fortis large",12.630,NA,NA,11.950,NA,NA,10.580,NA,NA,22.64,73.00,22.30,2020,"PC","El Garrapatero","f",12.630,10.580000,11.950,12.630000,10.580000,11.950000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-06,-0.567038640,-1.097004645,-0.9691307807,13.007307,12.886966,0.6653983,0.8541130, 2.383899e-01,-4.476196e-02, 0.3844040877,-0.3200102199, 0
